OD,OD FULL (CODE COMMUNE),NOM_COM_START,NOM_COM_END,Nombre,CENTROID_COM_START_X,CENTROID_COM_START_Y,CENTROID_COM_END_X,CENTROID_COM_END_Y,WAYPOINT_X,WAYPOINT_Y,WIDTH,WKT
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69387 -> 69273,Lyon 7e Arrondissement,Corbas,64,4.83736856178182,45.7334291759191,4.90851842674107,45.6683278201109,4.842077,45.721641,6.4,"LINESTRING(4.83736856178182 45.7334291759191,4.842077 45.721641,4.90851842674107 45.6683278201109)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69275 -> 69387,Décines-Charpieu,Lyon 7e Arrondissement,63,4.9617090527145,45.7719771208726,4.83736856178182,45.7334291759191,4.842077,45.721641,6.3,"LINESTRING(4.9617090527145 45.7719771208726,4.842077 45.721641,4.83736856178182 45.7334291759191)"
PASSE PAR D51_Sud_Nord,PASSE PAR D51_Sud_Nord : 69386 -> 69191,Lyon 6e Arrondissement,Saint-Cyr-au-Mont-d'Or,62,4.85190998301348,45.7731372369993,4.81817996540414,45.81927653489,4.845935,45.814674,6.2,"LINESTRING(4.85190998301348 45.7731372369993,4.845935 45.814674,4.81817996540414 45.81927653489)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69387 -> 69275,Lyon 7e Arrondissement,Décines-Charpieu,61,4.83736856178182,45.7334291759191,4.9617090527145,45.7719771208726,4.842077,45.721641,6.1,"LINESTRING(4.83736856178182 45.7334291759191,4.842077 45.721641,4.9617090527145 45.7719771208726)"
PASSE PAR AVENUE JEAN MERMOZ Est Ouest,PASSE PAR AVENUE JEAN MERMOZ Est Ouest : 69256 -> 69388,Vaulx-en-Velin,Lyon 8e Arrondissement,59,4.92669597598712,45.786148063082,4.86928073743304,45.7339241974647,4.881232,45.732687,5.9,"LINESTRING(4.92669597598712 45.786148063082,4.881232 45.732687,4.86928073743304 45.7339241974647)"
PASSE PAR D51_Nord_Sud,PASSE PAR D51_Nord_Sud : 69389 -> 69386,Lyon 9e Arrondissement,Lyon 6e Arrondissement,59,4.80878323742598,45.7826268074114,4.85190998301348,45.7731372369993,4.845935,45.814674,5.9,"LINESTRING(4.80878323742598 45.7826268074114,4.845935 45.814674,4.85190998301348 45.7731372369993)"
PASSE PAR AVENUE JEAN MERMOZ Est Ouest,PASSE PAR AVENUE JEAN MERMOZ Est Ouest : 69299 -> 69299,Colombier-Saugnieu,Colombier-Saugnieu,57,5.1035018306464,45.7179737933416,5.1035018306464,45.7179737933416,4.881232,45.732687,5.7,"LINESTRING(5.1035018306464 45.7179737933416,4.881232 45.732687,5.1035018306464 45.7179737933416)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69388 -> 69387,Lyon 8e Arrondissement,Lyon 7e Arrondissement,57,4.86928073743304,45.7339241974647,4.83736856178182,45.7334291759191,4.842077,45.721641,5.7,"LINESTRING(4.86928073743304 45.7339241974647,4.842077 45.721641,4.83736856178182 45.7334291759191)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69259 -> 69385,Vénissieux,Lyon 5e Arrondissement,54,4.88119698352709,45.7042422660472,4.80302269784641,45.7562732576647,4.842077,45.721641,5.4,"LINESTRING(4.88119698352709 45.7042422660472,4.842077 45.721641,4.80302269784641 45.7562732576647)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69286 -> 69387,Rillieux-la-Pape,Lyon 7e Arrondissement,54,4.8988718158773,45.8205294316862,4.83736856178182,45.7334291759191,4.842077,45.721641,5.4,"LINESTRING(4.8988718158773 45.8205294316862,4.842077 45.721641,4.83736856178182 45.7334291759191)"
